         n     alpha         x                   L
         3         2     0.001   0.9990002499E+001
         3         2     1.000   0.2333333333E+001
         3         2   100.000  -0.1426566667E+006
         3        20     0.001   0.1770747011E+004
         3        20     1.000   0.1529333333E+004
         3        20   100.000  -0.7519566667E+005
         3        40     0.001   0.1234009702E+005
         3        40     1.000   0.1145933333E+005
         3        40   100.000  -0.2962566667E+005
        10         2     0.001   0.6578024736E+002
        10         2     1.000  -0.5954546682E+001
        10         2   100.000   0.7117724862E+013
        10        20     0.001   0.3003071078E+008
        10        20     1.000   0.1834861784E+008
        10        20   100.000   0.5663372134E+012
        10        40     0.001   0.1026977300E+011
        10        40     1.000   0.8019281167E+010
        10        40   100.000   0.7028595560E+010
        30         2     0.001   0.4910579462E+003
        30         2     1.000   0.4914163594E+001
        30         2   100.000  -0.1760147434E+021
        30        20     0.001   0.4706192915E+014
        30        20     1.000   0.1032997899E+014
        30        20   100.000   0.4805064044E+017
        30        40     0.001   0.5530725569E+020
        30        40     1.000   0.2621250537E+020
        30        40   100.000   0.2301367839E+015
