 initial potential energy	:    245185.14259914224     
 final potential energy :   -214.64764149054437     
 step	utot	ukin	upot	temp	press

  550    -43.93432    193.26683   -237.20115      1.30146     12.02342
  600   -121.72809    191.86799   -313.59608      1.29204      8.68114
  650   -122.32450    152.80717   -275.13167      1.02900     10.11199
  700   -190.48250    153.68302   -344.16553      1.03490      7.35224
  750   -202.15509    131.47728   -333.63237      0.88537      7.50753
  800   -235.19430    121.92456   -357.11886      0.82104      6.52175
  850   -261.31678    113.42698   -374.74376      0.76382      5.55617
  900   -299.29421    113.45280   -412.74701      0.76399      3.75396
  950   -311.09874    104.36011   -415.45885      0.70276      4.01660
 1000   -304.02543     86.24887   -390.27431      0.58080      5.01211
 1050   -338.16083     88.31251   -426.47334      0.59470      3.04624
 1100   -348.61347     81.32515   -429.93861      0.54764      3.12303
 1150   -356.80149     74.95324   -431.75473      0.50474      3.04883
 1200   -375.86818     73.68617   -449.55436      0.49620      2.10818
 1250   -384.17351     68.98771   -453.16122      0.46456      1.86289
 1300   -383.91217     61.82828   -445.74045      0.41635      2.28062
 1350   -391.54650     58.10770   -449.65420      0.39130      2.11890
 1400   -401.77741     57.01972   -458.79712      0.38397      1.56774
 1450   -415.42140     57.20963   -472.63103      0.38525      1.25265
 1500   -408.64610     47.80873   -456.45482      0.32194      1.51383
 1550   -421.67089     48.69351   -470.36441      0.32790      0.94309
 1600   -425.03468     45.75806   -470.79275      0.30814      0.99491
 1650   -433.97004     45.53181   -479.50185      0.30661      0.47392
 1700   -434.02350     41.46796   -475.49145      0.27925      0.67466
 1750   -439.73399     40.54006   -480.27405      0.27300      0.37866
 1800   -453.66272     43.47347   -497.13619      0.29275     -0.28723
 1850   -452.33124     39.04605   -491.37729      0.26294     -0.17195
 1900   -459.41920     39.20051   -498.61971      0.26398     -0.52264
 1950   -452.55195     32.06397   -484.61592      0.21592      0.24850
 2000   -467.16387     35.89673   -503.06060      0.24173     -0.59148
 2050   -469.55533     33.99043   -503.54576      0.22889     -0.73583
 2100   -469.16902     31.02732   -500.19633      0.20894     -0.55460
 2150   -473.47783     30.60954   -504.08737      0.20612     -0.46907
 2200   -468.91860     25.76988   -494.68848      0.17353      0.01487
 2250   -481.42236     29.53269   -510.95505      0.19887     -1.02802
 2300   -480.78430     26.99676   -507.78105      0.18180     -0.90487
 2350   -481.92198     25.51162   -507.43360      0.17180     -0.83271
 2400   -489.71415     27.50409   -517.21824      0.18521     -1.24176
 2450   -486.79950     24.13513   -510.93463      0.16253     -0.87081
 2500   -485.81867     21.56137   -507.38004      0.14519     -0.86357
 2550   -492.96080     23.06039   -516.02119      0.15529     -1.08042
 2600   -494.88137     22.12360   -517.00497      0.14898     -1.21326
 2650   -500.88568     23.36660   -524.25228      0.15735     -1.65830
 2700   -499.21644     20.62343   -519.83986      0.13888     -1.37958
