 initial energy:          -46
 initial magnetization:           22
 average energy:   -1645.4765034901566     
 fraction accepted swaps:   0.11956054687500001     
 elapsed time [s] :   0.63470300000000002     
 final energy	(simu) :        -1666
 final magnetization (simu) :          902
 Magnetization Distribution: 
         510   7.8125000000000004E-007   7.8125000000000004E-007
         512   2.8645833333333334E-006   2.8645833333333329E-006
         514   1.8750000000000002E-005   1.8749999999999998E-005
         516   2.5781250000000000E-005   2.5781250000000000E-005
         518   2.5520833333333335E-005   2.5520833333333331E-005
         520   2.0182291666666667E-005   2.0182291666666667E-005
         522   2.3567708333333333E-005   2.3567708333333336E-005
         524   4.1406250000000000E-005   4.1406250000000000E-005
         526   5.1432291666666667E-005   5.1432291666666667E-005
         528   4.8958333333333335E-005   4.8958333333333335E-005
         530   6.6145833333333340E-005   6.6145833333333326E-005
         532   7.5130208333333340E-005   7.5130208333333326E-005
         534   7.8385416666666667E-005   7.8385416666666667E-005
         536   7.0052083333333343E-005   7.0052083333333330E-005
         538   7.8645833333333332E-005   7.8645833333333332E-005
         540   8.1770833333333340E-005   8.1770833333333340E-005
         542   7.6562499999999998E-005   7.6562499999999998E-005
         544   6.3151041666666664E-005   6.3151041666666664E-005
         546   6.6927083333333335E-005   6.6927083333333335E-005
         548   7.7473958333333339E-005   7.7473958333333325E-005
         550   1.0312500000000000E-004   1.0312500000000000E-004
         552   1.0820312500000001E-004   1.0820312500000000E-004
         554   1.0533854166666667E-004   1.0533854166666668E-004
         556   1.1523437500000001E-004   1.1523437499999999E-004
         558   9.4140625000000000E-005   9.4140625000000000E-005
         560   8.0859374999999999E-005   8.0859374999999999E-005
         562   7.5390625000000005E-005   7.5390625000000005E-005
         564   7.3567708333333335E-005   7.3567708333333335E-005
         566   6.9401041666666667E-005   6.9401041666666667E-005
         568   9.3750000000000002E-005   9.3750000000000002E-005
         570   1.4140625000000001E-004   1.4140625000000001E-004
         572   1.5013020833333333E-004   1.5013020833333333E-004
         574   1.6080729166666668E-004   1.6080729166666666E-004
         576   1.6289062500000000E-004   1.6289062500000000E-004
