 initial energy:           16
 initial magnetization:           24
 average energy:   -1616.9571519080898     
 fraction accepted swaps:   0.14642187500000001     
 elapsed time [s] :   0.64798200000000006     
 final energy	(simu) :        -1562
 final magnetization (simu) :          632
 Magnetization Distribution: 
        -656   1.3020833333333334E-007   2.2413889403151982E-007
        -654   4.2968750000000003E-006   7.2027174960537523E-006
        -652   1.2369791666666668E-005   2.0203669876387074E-005
        -650   1.7578125000000002E-005   2.7932445709140761E-005
        -648   3.4244791666666670E-005   5.2967114271712125E-005
        -646   5.4947916666666666E-005   8.2637264874377994E-005
        -644   8.5546874999999997E-005   1.2499081090483892E-004
        -642   1.1627604166666667E-004   1.6537085274394812E-004
        -640   1.3268229166666666E-004   1.8396897450610606E-004
        -638   1.1783854166666667E-004   1.5883773349502613E-004
        -636   1.4713541666666667E-004   1.9334725000391559E-004
        -634   1.4895833333333335E-004   1.8997447580994402E-004
        -632   1.7708333333333335E-004   2.2043199444115940E-004
        -630   1.9127604166666669E-004   2.3177671654012728E-004
        -628   2.0820312500000000E-004   2.4577058909972362E-004
        -626   2.1497395833333335E-004   2.4763000511037993E-004
        -624   1.8867187500000001E-004   2.1161306367540496E-004
        -622   1.8502604166666667E-004   2.0212732314796021E-004
        -620   2.2851562500000001E-004   2.4293824111640595E-004
        -618   1.7942708333333333E-004   1.8670348093822084E-004
        -616   1.4388020833333334E-004   1.4625749275406596E-004
        -614   1.2539062500000001E-004   1.2421975752542703E-004
        -612   1.4036458333333335E-004   1.3592457751737067E-004
        -610   1.2890625000000001E-004   1.2186894139881018E-004
        -608   1.2864583333333334E-004   1.1851139557032952E-004
        -606   1.2617187500000001E-004   1.1320966423718035E-004
        -604   1.2174479166666668E-004   1.0688844629641599E-004
        -602   1.6575520833333335E-004   1.4242535129812682E-004
        -600   1.9140625000000001E-004   1.6061105794993544E-004
        -598   2.2994791666666668E-004   1.8813753311965896E-004
        -596   2.2122395833333334E-004   1.7694156291277340E-004
        -594   2.3815104166666668E-004   1.8589542636184838E-004
        -592   2.5729166666666668E-004   1.9645595560119946E-004
        -590   2.2213541666666668E-004   1.6576893840718977E-004
        -588   2.1861979166666669E-004   1.5932695799382226E-004
        -586   2.5429687500000002E-004   1.8097211058556900E-004
        -584   2.1054687500000001E-004   1.4665303825399910E-004
        -582   2.0794270833333334E-004   1.4149713528875752E-004
        -580   2.4101562500000002E-004   1.6031332089229609E-004
        -578   1.9973958333333334E-004   1.3010571668875369E-004
        -576   2.2369791666666667E-004   1.4258830983433557E-004
        -574   2.0598958333333333E-004   1.2841680229396099E-004
        -572   2.2174479166666667E-004   1.3521227947677089E-004
        -570   2.1510416666666667E-004   1.2827117240898269E-004
        -568   1.9283854166666668E-004   1.1242970339434894E-004
        -566   1.8463541666666669E-004   1.0529344120483015E-004
        -564   2.0078125000000000E-004   1.1207153216578941E-004
        -562   1.8841145833333335E-004   1.0292333801445531E-004
        -560   1.9088541666666668E-004   1.0208669321755942E-004
        -558   2.4036458333333334E-004   1.2581145261743526E-004
        -556   2.1549479166666668E-004   1.1026324147154873E-004
        -554   2.2473958333333336E-004   1.1294796602415284E-004
        -552   2.2408854166666668E-004   1.1032341512768203E-004
        -550   2.1835937500000002E-004   1.0493626282981062E-004
        -548   2.1380208333333334E-004   1.0052080322748747E-004
        -546   2.1888020833333335E-004   1.0095043933575736E-004
        -544   2.0117187500000002E-004   9.0893739160209181E-005
        -542   1.8763020833333335E-004   8.2831536903667122E-005
        -540   1.7513020833333334E-004   7.5745271908363501E-005
        -538   1.9479166666666668E-004   8.2377431668948431E-005
        -536   1.8164062500000000E-004   7.5285985173508712E-005
        -534   2.0690104166666668E-004   8.4047772707562584E-005
        -532   2.7799479166666668E-004   1.1078528615023551E-004
        -530   2.4479166666666670E-004   9.5388603311856476E-005
        -528   2.3255208333333334E-004   8.8897244344583168E-005
        -526   2.2929687500000001E-004   8.6162417597553914E-005
        -524   1.9804687500000001E-004   7.2953242017069326E-005
        -522   1.6328125000000001E-004   5.8982804634094697E-005
        -520   1.2291666666666668E-004   4.3598577317921521E-005
        -518   1.4674479166666669E-004   5.0995153428453938E-005
        -516   1.3320312499999999E-004   4.5301564091804461E-005
        -514   1.6575520833333335E-004   5.5328080912320209E-005
        -512   1.2382812500000000E-004   4.0468086502706758E-005
        -510   1.3932291666666666E-004   4.4665499520804359E-005
        -508   1.4622395833333333E-004   4.5934469654511724E-005
        -506   1.7682291666666668E-004   5.4403928779897589E-005
        -504   2.0677083333333336E-004   6.2441939386175720E-005
        -502   2.0937500000000001E-004   6.2008097607732030E-005
        -500   2.0260416666666669E-004   5.8719077151182447E-005
