 conserved    temp
    0.1125052579E+03    0.2927516513E-10
    0.1125052056E+03    0.8853234040E-14
    0.1125052872E+03    0.1134481876E-01
    0.1125052464E+03    0.1483380845E-14
    0.1125052153E+03    0.8843195577E-16
    0.1125052956E+03    0.3725643338E-18
    0.1125052919E+03    0.6179422982E-04
    0.1125052789E+03    0.7252965740E-09
    0.1125052436E+03    0.1089058187E-13
    0.1125052725E+03    0.8671354664E-19
    0.1125052618E+03    0.1368033588E-07
    0.1125052607E+03    0.2186616850E+00
    0.1125052479E+03    0.8378159753E-06
    0.1125052615E+03    0.1592043706E-18
    0.1125052024E+03    0.1659064430E-18
    0.1125052791E+03    0.1779400489E-18
    0.1125052816E+03    0.1701149281E-02
    0.1125052125E+03    0.5892126576E-11
    0.1125052521E+03    0.6304665319E-14
    0.1125052577E+03    0.7787558938E-17
    0.1125052087E+03    0.1210818046E-15
    0.1125052760E+03    0.3198411322E-13
    0.1125052065E+03    0.2717475421E-04
    0.1125055515E+03    0.7291864291E-01
    0.1125052791E+03    0.2378925210E-17
    0.1125052187E+03    0.7779063345E-16
    0.1125052473E+03    0.7972835732E-17
    0.1125052955E+03    0.5783086838E-04
    0.1125052388E+03    0.1083012578E-11
    0.1125052274E+03    0.7834825946E-09
    0.1125052672E+03    0.2185459862E-19
    0.1125052048E+03    0.6080877487E-17
    0.1125052741E+03    0.1057210500E-18
    0.1125052111E+03    0.4282900604E-05
    0.1125052447E+03    0.2625968573E-03
    0.1125052786E+03    0.7758506625E-16
    0.1125052362E+03    0.2142556990E-17
    0.1125052363E+03    0.1880646455E-16
    0.1125053123E+03    0.1603949388E-10
    0.1125052910E+03    0.1016405075E-10
    0.1125052597E+03    0.3530867931E-17
    0.1125052541E+03    0.2191981111E-16
    0.1125052852E+03    0.2783728774E-14
    0.1125052688E+03    0.8578326966E-07
    0.1125052346E+03    0.8615606551E-14
    0.1125052701E+03    0.2982715845E-16
    0.1125053028E+03    0.5936883534E-17
    0.1125052956E+03    0.1349649954E-06
    0.1125052375E+03    0.4071388826E-14
    0.1125052355E+03    0.3389464051E-16
    0.1125052764E+03    0.3326755497E-16
    0.1125052559E+03    0.1328054887E-02
    0.1125052039E+03    0.5175654248E-09
    0.1125052567E+03    0.1424199884E-15
    0.1125052731E+03    0.4650719839E-17
    0.1125052045E+03    0.5262475600E-05
    0.1125052612E+03    0.7553202938E-01
    0.1125052719E+03    0.7774801359E-17
    0.1125051919E+03    0.1357610083E-13
    0.1125052490E+03    0.1223388847E-18
    0.1125052411E+03    0.2368498456E-12
    0.1125052258E+03    0.1259765372E-05
    0.1125052579E+03    0.4526951093E-03
    0.1125053054E+03    0.8075933879E-22
    0.1125052431E+03    0.1219747095E-15
    0.1125052524E+03    0.1151149264E-10
    0.1125053780E+03    0.1179795557E+00
    0.1125053588E+03    0.5429562463E-17
    0.1125053061E+03    0.2171194763E-15
    0.1125052946E+03    0.8531263122E-08
    0.1125052967E+03    0.3664214115E-03
    0.1125053542E+03    0.1490389518E-15
    0.1125053569E+03    0.1240140234E-15
    0.1125053092E+03    0.2267582074E-04
    0.1125053277E+03    0.6768901702E-08
    0.1125053547E+03    0.4266583587E-16
    0.1125053957E+03    0.3651629435E-16
    0.1125054290E+03    0.4649618408E-01
    0.1125053619E+03    0.3536551533E-15
    0.1125053076E+03    0.2679453531E-16
    0.1125053390E+03    0.2141914556E-11
    0.1125053638E+03    0.9467928210E-04
    0.1125053955E+03    0.4317329224E-18
    0.1125053382E+03    0.3645936179E-15
