 final energy:            3
 average energy level:    10.357482328503535     
 energy distribution: 
           0   8.9896400000000001E-002
           1   8.1895599999999999E-002
           2   7.4172600000000005E-002
           3   6.7478200000000002E-002
           4   6.1231399999999998E-002
           5   5.5358400000000002E-002
           6   5.0214399999999999E-002
           7   4.5480800000000002E-002
           8   4.1397000000000003E-002
           9   3.7659800000000000E-002
          10   3.4273199999999997E-002
          11   3.1151399999999999E-002
          12   2.8415400000000000E-002
          13   2.5949199999999999E-002
          14   2.3816799999999999E-002
          15   2.1814400000000001E-002
          16   1.9968199999999998E-002
          17   1.8368800000000001E-002
          18   1.6775000000000002E-002
          19   1.5282000000000000E-002
          20   1.3890800000000000E-002
